Input Term,Best Match,URI,Similarity Score
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
intestines,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.9506
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
intestne,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.8780
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
int wall,boundary wall,http://purl.obolibrary.org/obo/ENVO_01000466,0.6313
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
jejunum,jejunum,http://purl.obolibrary.org/obo/UBERON_0002115,1.0000
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
larynx,larynx,http://purl.obolibrary.org/obo/UBERON_0001737,1.0000
stomach lesions,abdomen,http://purl.obolibrary.org/obo/UBERON_0000916,0.6698
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
lg intestine,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.7717
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
lg & sm intestine,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.6622
stomach lining,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,0.7366
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
liver,liver,http://purl.obolibrary.org/obo/UBERON_0002107,1.0000
stomach lumen,stomach lumen,http://purl.obolibrary.org/obo/UBERON_0013525,1.0000
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
lung,lung,http://purl.obolibrary.org/obo/UBERON_0002048,1.0000
body cavity,organ cavity,http://purl.obolibrary.org/obo/UBERON_0002558,0.8467
stomach mesenteries,mesentery of stomach,http://purl.obolibrary.org/obo/UBERON_0003281,0.8896
stomach mesentery,mesentery of stomach,http://purl.obolibrary.org/obo/UBERON_0003281,0.9232
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
mesentery,mesentery,http://purl.obolibrary.org/obo/UBERON_0002095,1.0000
stomach mucosa,mucosa of stomach,http://purl.obolibrary.org/obo/UBERON_0001199,0.9568
stomach (mucous lining),mucous cell of stomach,http://purl.obolibrary.org/obo/CL_0002180,0.8227
stomach mucous membrane,mucous cell of stomach,http://purl.obolibrary.org/obo/CL_0002180,0.8634
stomach (mucus memb),mucous cell of stomach,http://purl.obolibrary.org/obo/CL_0002180,0.7092
stomach musus,mucosa of stomach,http://purl.obolibrary.org/obo/UBERON_0001199,0.7293
stomach near esophagus,abdominal part of esophagus,http://purl.obolibrary.org/obo/UBERON_0035177,0.8661
stomach nodules,stomach squamous epithelium,http://purl.obolibrary.org/obo/UBERON_0006921,0.6323
stomach of bass,body of stomach,http://purl.obolibrary.org/obo/UBERON_0001161,0.6012
stomach (outer wall),wall of stomach,http://purl.obolibrary.org/obo/UBERON_0001167,0.9192
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
ovary cysts,ovary,http://purl.obolibrary.org/obo/UBERON_0000992,0.7352
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
pancreas,pancreas,http://purl.obolibrary.org/obo/UBERON_0001264,1.0000
sm intestine,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.8384
stomach (passed in feces),feces,http://purl.obolibrary.org/obo/UBERON_0001988,0.7096
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
peritoneal cavity,peritoneal cavity,http://purl.obolibrary.org/obo/UBERON_0001179,1.0000
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
peritoneum,peritoneum,http://purl.obolibrary.org/obo/UBERON_0002358,1.0000
stomach peritoneum cysts,gastrointestinal peritoneum,http://purl.obolibrary.org/obo/UBERON_3010819,0.6983
stomach peritoneum (encapsulat,gastrointestinal peritoneum,http://purl.obolibrary.org/obo/UBERON_3010819,0.8097
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
pharynx,pharynx,http://purl.obolibrary.org/obo/UBERON_0006562,1.0000
stomach- polyp,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,0.6751
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
proventriculus,proventriculus,http://purl.obolibrary.org/obo/UBERON_0007357,1.0000
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
pyloric caeca,pyloric stomach,http://purl.obolibrary.org/obo/UBERON_0008246,0.7051
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
pyloric cecae,obsolete pyloric caecum,http://purl.obolibrary.org/obo/UBERON_2002253,0.6857
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
pyloric ceca,pyloric stomach,http://purl.obolibrary.org/obo/UBERON_0008246,0.6862
int,integument,http://purl.obolibrary.org/obo/UBERON_0002199,0.5927
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
pyloric region,pyloric region epithelium,http://purl.obolibrary.org/obo/UBERON_0005637,0.7629
stomach- pyloris,pyloric stomach,http://purl.obolibrary.org/obo/UBERON_0008246,0.8380
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
pylorus,pylorus,http://purl.obolibrary.org/obo/UBERON_0001166,1.0000
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
rectum,rectum,http://purl.obolibrary.org/obo/UBERON_0001052,1.0000
stomach (serosa surface),serosa of stomach,http://purl.obolibrary.org/obo/UBERON_0001201,0.8616
stomach- serous coat,muscular coat of digestive tract,http://purl.obolibrary.org/obo/UBERON_0018261,0.6755
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
sm and lg intestine,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.6623
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
sm intestijne,smegma,http://purl.obolibrary.org/obo/UBERON_0003670,0.5595
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
sm intestine,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.8384
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
sm intestine,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.8384
caecum,caecum,http://purl.obolibrary.org/obo/UBERON_0001153,1.0000
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
sm intestine,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.8384
omentum,omentum,http://purl.obolibrary.org/obo/UBERON_0003688,1.0000
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
sm intest. mucosa,intestinal mucosa,http://purl.obolibrary.org/obo/UBERON_0001242,0.8058
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
sm int,smegma,http://purl.obolibrary.org/obo/UBERON_0003670,0.5779
lg int,L-tyrosinal(1+),http://purl.obolibrary.org/obo/CHEBI_141668,0.4937
,right,http://purl.obolibrary.org/obo/PATO_0000367,0.5217
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
sm & lg intestine,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.6734
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
spleen,spleen,http://purl.obolibrary.org/obo/UBERON_0002106,1.0000
abd. cavity,abdominal cavity,http://purl.obolibrary.org/obo/UBERON_0003684,0.7978
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
sprial intestine,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,0.7081
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
submucosa lesions,submucosa,http://purl.obolibrary.org/obo/UBERON_0000009,0.7154
stomach surface,body of stomach,http://purl.obolibrary.org/obo/UBERON_0001161,0.7890
esophagus,esophagus,http://purl.obolibrary.org/obo/UBERON_0001043,1.0000
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
swim bladder,swim bladder,http://purl.obolibrary.org/obo/UBERON_0006860,1.0000
stomach tissue,abdomen connective tissue,http://purl.obolibrary.org/obo/UBERON_0003567,0.7870
stomach tissue section,abdominal segment connective tissue,http://purl.obolibrary.org/obo/UBERON_0003838,0.8019
stomach,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,1.0000
trachea,trachea,http://purl.obolibrary.org/obo/UBERON_0003126,1.0000
mouth,mouth,http://purl.obolibrary.org/obo/UBERON_0000165,1.0000
stomach tumor,stomach glandular epithelium,http://purl.obolibrary.org/obo/UBERON_0006924,0.6515
stomach tumors,stomach,http://purl.obolibrary.org/obo/UBERON_0000945,0.6611
stomach (vomited),vomit,http://purl.obolibrary.org/obo/UBERON_0000172,0.7914
stomach- vomited,vomit,http://purl.obolibrary.org/obo/UBERON_0000172,0.7421
stomach wall,wall of stomach,http://purl.obolibrary.org/obo/UBERON_0001167,0.9772
stomach wall,wall of stomach,http://purl.obolibrary.org/obo/UBERON_0001167,0.9772
body cavity,organ cavity,http://purl.obolibrary.org/obo/UBERON_0002558,0.8467
stomach wall (cyst),wall of stomach,http://purl.obolibrary.org/obo/UBERON_0001167,0.7017
stomach wall cyst,abdominal wall,http://purl.obolibrary.org/obo/UBERON_0003697,0.6701
stomach wall (cysts),abdominal wall,http://purl.obolibrary.org/obo/UBERON_0003697,0.7025
stomach wall cysts,abdominal wall,http://purl.obolibrary.org/obo/UBERON_0003697,0.6844
stomach wall cysts (coelom),abdominal wall,http://purl.obolibrary.org/obo/UBERON_0003697,0.6553
stomach wall (embedded),wall of stomach,http://purl.obolibrary.org/obo/UBERON_0001167,0.8880
stomach wall (encapsulated),wall of stomach,http://purl.obolibrary.org/obo/UBERON_0001167,0.7915
stomach wall (encysted),wall of stomach,http://purl.obolibrary.org/obo/UBERON_0001167,0.8607
